kabupaten_kota,kecamatan,desa_kelurahan,status,jenis_kelamin,jumlah_penduduk,tahun
KABUPATEN BOGOR,NANGGUNG,MALASARI,DESA,LAKI-LAKI,3742,2019
KABUPATEN BOGOR,NANGGUNG,MALASARI,DESA,PEREMPUAN,3416,2019
KABUPATEN BOGOR,NANGGUNG,BANTAR KARET,DESA,LAKI-LAKI,4788,2019
KABUPATEN BOGOR,NANGGUNG,BANTAR KARET,DESA,PEREMPUAN,4346,2019
KABUPATEN BOGOR,NANGGUNG,CISARUA,DESA,LAKI-LAKI,3444,2019
KABUPATEN BOGOR,NANGGUNG,CISARUA,DESA,PEREMPUAN,3102,2019
KABUPATEN BOGOR,NANGGUNG,CURUG BITUNG,DESA,LAKI-LAKI,4609,2019
KABUPATEN BOGOR,NANGGUNG,CURUG BITUNG,DESA,PEREMPUAN,4130,2019
KABUPATEN BOGOR,NANGGUNG,NANGGUNG,DESA,LAKI-LAKI,3495,2019
KABUPATEN BOGOR,NANGGUNG,NANGGUNG,DESA,PEREMPUAN,3186,2019
KABUPATEN BOGOR,NANGGUNG,PANGKAL JAYA,DESA,LAKI-LAKI,2850,2019
KABUPATEN BOGOR,NANGGUNG,PANGKAL JAYA,DESA,PEREMPUAN,2629,2019
KABUPATEN BOGOR,NANGGUNG,SUKALUYU,DESA,LAKI-LAKI,1975,2019
KABUPATEN BOGOR,NANGGUNG,SUKALUYU,DESA,PEREMPUAN,1779,2019
KABUPATEN BOGOR,NANGGUNG,HAMBARO,DESA,LAKI-LAKI,3745,2019
KABUPATEN BOGOR,NANGGUNG,HAMBARO,DESA,PEREMPUAN,3403,2019
KABUPATEN BOGOR,NANGGUNG,KALONG LIUD,DESA,LAKI-LAKI,3787,2019
KABUPATEN BOGOR,NANGGUNG,KALONG LIUD,DESA,PEREMPUAN,3575,2019
KABUPATEN BOGOR,NANGGUNG,PARAKAN MUNCANG,DESA,LAKI-LAKI,2766,2019
KABUPATEN BOGOR,NANGGUNG,PARAKAN MUNCANG,DESA,PEREMPUAN,2390,2019
KABUPATEN BOGOR,NANGGUNG,BATU TULIS,DESA,LAKI-LAKI,4925,2019
KABUPATEN BOGOR,NANGGUNG,BATU TULIS,DESA,PEREMPUAN,4579,2019
KABUPATEN BOGOR,LEUWILIANG,PURASARI,DESA,LAKI-LAKI,2532,2019
KABUPATEN BOGOR,LEUWILIANG,PURASARI,DESA,PEREMPUAN,2514,2019
KABUPATEN BOGOR,LEUWILIANG,PURASEDA,DESA,LAKI-LAKI,2780,2019
KABUPATEN BOGOR,LEUWILIANG,PURASEDA,DESA,PEREMPUAN,2759,2019
KABUPATEN BOGOR,LEUWILIANG,KARYASARI,DESA,LAKI-LAKI,2893,2019
KABUPATEN BOGOR,LEUWILIANG,KARYASARI,DESA,PEREMPUAN,2592,2019
KABUPATEN BOGOR,LEUWILIANG,PABANGBON,DESA,LAKI-LAKI,3244,2019
KABUPATEN BOGOR,LEUWILIANG,PABANGBON,DESA,PEREMPUAN,3149,2019
