id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,status_pemerintahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010001,MALASARI,32.01.21,NANGGUNG,32.01.21.2001,MALASARI,DESA,LAKI-LAKI,3742,JIWA,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010001,MALASARI,32.01.21,NANGGUNG,32.01.21.2001,MALASARI,DESA,PEREMPUAN,3416,JIWA,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010002,BANTAR KARET,32.01.21,NANGGUNG,32.01.21.2004,BANTARKARET,DESA,LAKI-LAKI,4788,JIWA,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010002,BANTAR KARET,32.01.21,NANGGUNG,32.01.21.2004,BANTARKARET,DESA,PEREMPUAN,4346,JIWA,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010003,CISARUA,32.01.21,NANGGUNG,32.01.21.2003,CISARUA,DESA,LAKI-LAKI,3444,JIWA,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010003,CISARUA,32.01.21,NANGGUNG,32.01.21.2003,CISARUA,DESA,PEREMPUAN,3102,JIWA,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010004,CURUG BITUNG,32.01.21,NANGGUNG,32.01.21.2002,CURUGBITUNG,DESA,LAKI-LAKI,4609,JIWA,2019
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010004,CURUG BITUNG,32.01.21,NANGGUNG,32.01.21.2002,CURUGBITUNG,DESA,PEREMPUAN,4130,JIWA,2019
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010005,NANGGUNG,32.01.21,NANGGUNG,32.01.21.2007,NANGGUNG,DESA,LAKI-LAKI,3495,JIWA,2019
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,3201010005,NANGGUNG,32.01.21,NANGGUNG,32.01.21.2007,NANGGUNG,DESA,PEREMPUAN,3186,JIWA,2019
